#This ducoment lists the peering ASes of Hurricane Electric via IXP at each border router.
#Format:
#border router|peering ASN,<list of neighbor addresses (separated by comma)>
ash1|11164,206.126.236.45
ash1|5650,206.126.236.46
ash1|19151,206.126.236.47
ash1|22556,206.126.236.51
ash1|48237,206.126.236.53
ash1|11796,206.126.236.57
ash1|32098,206.126.236.58
ash1|3292,206.126.236.59
ash1|14390,206.126.236.63
ash1|4181,206.126.236.64
ash1|16509,206.126.236.35,206.126.236.68
ash1|8001,206.126.236.69
ash1|12129,206.126.236.70
ash1|19108,206.126.236.72
ash1|46786,206.126.236.75
ash1|5769,206.126.236.76
ash1|10297,206.126.236.81
ash1|8657,206.126.236.82
ash1|1239,206.126.236.84
ash1|44444,206.126.236.89
ash1|6181,206.126.236.90
ash1|14361,206.126.236.91
ash1|13414,206.53.170.23,206.126.236.97
ash1|7160,206.126.236.99
ash1|20940,206.126.236.102,206.126.236.103
ash1|812,206.126.236.105
ash1|14492,206.126.236.109
ash1|3856,206.53.137.25,206.126.236.110
ash1|42,206.53.137.26,206.126.236.111
ash1|6830,206.126.236.104,206.126.236.117
ash1|41095,206.126.236.120
ash1|22822,206.126.236.123
ash1|393225,206.126.236.124
ash1|36692,206.126.236.128
ash1|197981,206.126.236.129
ash1|3216,206.126.236.130
ash1|13445,206.126.236.132
ash1|3737,206.126.236.133
ash1|19653,206.126.236.134
ash1|29748,206.126.236.135
ash1|12083,206.126.236.136
ash1|31800,206.126.236.138
ash1|40220,206.126.236.139
ash1|5400,206.126.236.140
ash1|15412,206.126.236.141
ash1|6447,206.126.236.142
ash1|27026,206.126.236.144
ash1|3303,206.126.236.147
ash1|8075,206.53.170.12,206.126.236.17,206.126.236.148
ash1|6128,206.126.236.150
ash1|12200,206.126.236.151
ash1|2647,206.126.236.153
ash1|31939,206.126.236.154
ash1|7795,206.126.236.156
ash1|30094,206.126.236.159
ash1|54994,206.126.236.67,206.126.236.161
ash1|29791,206.126.236.163
ash1|14340,206.53.170.22,206.126.236.165
ash1|3223,206.126.236.169
ash1|7342,206.126.236.170
ash1|16740,206.126.236.171
ash1|11039,206.126.236.172
ash1|4788,206.126.236.176
ash1|394151,206.126.236.178
ash1|8359,206.126.236.180
ash1|8781,206.126.236.181
ash1|286,206.126.236.182
ash1|16276,206.126.236.184
ash1|36351,206.126.236.185
ash1|40428,206.126.236.192
ash1|15305,206.126.236.196
ash1|16876,206.126.236.198
ash1|8560,206.126.236.200
ash1|577,206.126.236.203
ash1|16735,206.126.236.205
ash1|27471,206.126.236.209,206.126.236.211
ash1|44654,206.126.236.213
ash1|57695,206.126.236.214
ash1|36089,206.126.236.218
ash1|32787,206.126.236.219
ash1|62955,206.126.236.224
ash1|6774,206.126.236.228
ash1|2603,206.126.236.230
ash1|40627,206.126.236.232
ash1|25885,206.126.236.234
ash1|2711,206.126.236.236
ash1|16265,206.126.236.4,206.126.236.240
ash1|10933,206.126.236.242
ash1|54312,206.126.236.243
ash1|8674,206.126.236.245,206.126.236.246
ash1|29834,206.126.237.11
ash1|8966,206.126.237.12
ash1|7029,206.126.237.16
ash1|3300,206.126.237.17
ash1|199524,206.126.237.22
ash1|12189,206.126.237.26
ash1|27381,206.126.237.28
ash1|21371,206.126.237.29
ash1|13335,206.53.137.36,206.53.170.7,206.126.237.30
ash1|14413,206.126.237.33
ash1|17054,206.126.237.36
ash1|9304,206.126.237.37
ash1|33597,206.126.237.38
ash1|206264,206.126.237.40
ash1|43996,206.126.237.41
ash1|13285,206.126.237.45
ash1|39832,206.126.237.46
ash1|7713,206.126.237.47
ash1|11279,206.126.237.48
ash1|30259,206.126.237.49
ash1|13489,206.126.237.53
ash1|4230,206.126.237.55
ash1|62887,206.126.237.58
ash1|4922,206.126.237.59
ash1|21880,206.126.237.67
ash1|19009,206.126.237.69
ash1|23274,206.126.237.73
ash1|19679,206.126.236.74,206.126.237.74
ash1|26479,206.126.237.79
ash1|26554,206.126.237.80
ash1|53780,206.126.237.88
ash1|6614,206.126.237.91,206.126.237.92
ash1|208722,206.126.237.94
ash1|23550,206.126.237.97
ash1|21859,206.126.237.98
ash1|16591,206.126.237.101
ash1|32479,206.126.237.102
ash1|714,206.126.237.51,206.126.237.103
ash1|394354,206.126.237.107
ash1|32829,206.126.237.112
ash1|33353,206.126.237.115
ash1|11742,206.126.237.60,206.126.237.116
ash1|24482,206.126.237.122
ash1|52320,206.126.237.123
ash1|2635,206.126.236.197,206.126.237.124
ash1|59605,206.126.237.125
ash1|17310,206.126.237.128
ash1|26744,206.126.237.130
ash1|16409,206.126.237.136
ash1|32286,206.126.237.84,206.126.237.138
ash1|15211,206.126.237.145,206.126.237.146
ash1|15695,206.126.237.151
ash1|6507,206.126.237.152
